id,img,username,gender,career,city,pingfen,time,password,tel,birthady,email
1,"[""gooda01.jpg"",""gooda02.jpg"",""gooda03.jpg"",""gooda04.jpg"",""gooda05.jpg"",""gooda06.jpg""]",user-1,女,程序员,杭州,15,2018/6/14,111111,13111111111,,123456@qq.com
2,"[""goodb01.jpg"",""goodb02.jpg"",""goodb03.jpg"",""goodb04.jpg"",""goodb05.jpg"",""goodb06.jpg""]",user-2,女,作家,广州,14,2018/6/15,111111,13111111111,,123456@qq.com
3,"[""goodc01.jpg"",""goodc02.jpg"",""goodc03.jpg"",""goodc04.jpg"",""goodc05.jpg"",""goodc06.jpg""]",user-3,女,词人,杭州,85,2018/6/16,111111,13111111111,,123456@qq.com
4,"[""goodd01.jpg"",""goodd02.jpg"",""goodd03.jpg"",""goodd04.jpg"",""goodd05.jpg"",""goodd06.jpg""]",user-4,男,诗人,杭州,666,2018/6/17,111111,13111111111,,123456@qq.com
5,"[""goode01.jpg"",""goode02.jpg"",""goode03.jpg"",""goode04.jpg"",""goode05.jpg"",""goode06.jpg""]",user-5,不详,打酱油,深圳,123,2018/6/18,111111,13111111111,,123456@qq.com
6,"[""goodf01.jpg"",""goodf02.jpg"",""goodf03.jpg"",""goodf04.jpg"",""goodf05.jpg"",""goodf06.jpg""]",user-6,女,作家,广州,12,2018/6/19,111111,13111111111,,123456@qq.com
7,"[""goodg01.jpg"",""goodg02.jpg"",""goodg03.jpg"",""goodg04.jpg"",""goodg05.jpg"",""goodg06.jpg""]",user-7,女,程序员,广州,18,2018/6/20,111111,13111111111,,123456@qq.com
8,"[""goodh01.jpg"",""goodh02.jpg"",""goodh03.jpg"",""goodh04.jpg"",""goodh05.jpg"",""goodh06.jpg""]",user-8,男,作家,广州,33,2018/6/21,111111,13111111111,,123456@qq.com
9,"[""goodi01.jpg"",""goodi02.jpg"",""goodi03.jpg"",""goodi04.jpg"",""goodi05.jpg"",""goodi06.jpg""]",user-9,不详,程序员,广州,17,2018/6/22,111111,13111111111,,123456@qq.com
10,"[""goodj01.jpg"",""goodj02.jpg"",""goodj03.jpg"",""goodj04.jpg"",""goodj05.jpg"",""goodj06.jpg""]",user-10,不详,作家,广州,888,2018/6/23,111111,13111111111,,123456@qq.com
11,"""[""goodk01.jpg"",""goodk02.jpg"",""goodk03.jpg"",""goodk04.jpg"",""goodk05.jpg"",""goodk06.jpg""]""",user-11,男,程序员,杭州,77,2018/6/24,111111,13111111111,,123456@qq.com
12,"[""goodl01.jpg"",""goodl02.jpg"",""goodl03.jpg"",""goodl04.jpg"",""goodl05.jpg"",""goodl06.jpg""]",user-12,女,作家,广州,11,2018/6/25,111111,13111111111,,123456@qq.com
13,"[""goodm01.jpg"",""goodm02.jpg"",""goodm03.jpg"",""goodm04.jpg"",""goodm05.jpg"",""goodm06.jpg""]",user-13,不详,词人,广州,22,2018/6/26,111111,13111111111,,123456@qq.com
14,"[""goodn01.jpg"",""goodn02.jpg"",""goodn03.jpg"",""goodn04.jpg"",""goodn05.jpg"",""goodn06.jpg""]",user-14,女,作家,广州,48,2018/6/27,111111,13111111111,,123456@qq.com
15,"[""goodo01.jpg"",""goodo02.jpg"",""goodo03.jpg"",""goodo04.jpg"",""goodo05.jpg"",""goodo06.jpg""]",user-15,不详,词人,深圳,2,2018/6/28,111111,13111111111,,123456@qq.com
16,"[""goodp01.jpg"",""goodp02.jpg"",""goodp03.jpg"",""goodp04.jpg"",""goodp05.jpg"",""goodp06.jpg""]",user-16,女,作家,深圳,54,2018/6/29,111111,13111111111,,123456@qq.com
17,"[""goodq01.jpg"",""goodq02.jpg"",""goodq03.jpg"",""goodq04.jpg"",""goodq05.jpg"",""goodq06.jpg""]",user-17,不详,词人,深圳,2,2018/6/30,111111,13111111111,,123456@qq.com
18,"[""goodr01.jpg"",""goodr02.jpg"",""goodr03.jpg"",""goodr04.jpg"",""goodr05.jpg"",""goodr06.jpg""]",user-18,男,作家,深圳,5,2018/7/1,111111,13111111111,,123456@qq.com
19,"[""goods01.jpg"",""goods02.jpg"",""goods03.jpg"",""goods04.jpg"",""goods05.jpg"",""goods06.jpg""]",user-19,女,词人,广州,2,2018/7/2,111111,13111111111,,123456@qq.com
20,"[""goodt01.jpg"",""goodt02.jpg"",""goodt03.jpg"",""goodt04.jpg"",""goodt05.jpg"",""goodt06.jpg""]",user-20,不详,作家,广州,2,2018/7/3,111111,13111111111,,123456@qq.com
21,"[""goodu01.jpg"",""goodu02.jpg"",""goodu03.jpg"",""goodu04.jpg"",""goodu05.jpg"",""goodu06.jpg""]",user-21,男,诗人,广州,87,2018/7/4,111111,13111111111,,123456@qq.com
22,"[""goodv01.jpg"",""goodv02.jpg"",""goodv03.jpg"",""goodv04.jpg"",""goodv05.jpg"",""goodv06.jpg""]",user-22,女,作家,广州,5,2018/7/5,111111,13111111111,,123456@qq.com
23,"[""goodw01.jpg"",""goodw02.jpg"",""goodw03.jpg"",""goodw04.jpg"",""goodw05.jpg"",""goodw06.jpg""]",user-23,女,诗人,广州,5,2018/7/6,111111,13111111111,,123456@qq.com
24,"[""goodx01.jpg"",""goodx02.jpg"",""goodx03.jpg"",""goodx04.jpg"",""goodx05.jpg"",""goodx06.jpg""]",user-24,不详,程序员,广州,2,2018/7/7,111111,13111111111,,123456@qq.com
25,"[""goody01.jpg"",""goody02.jpg"",""goody03.jpg"",""goody04.jpg"",""goody05.jpg"",""goody06.jpg""]",user-25,不详,诗人,广州,5,2018/7/8,111111,13111111111,,123456@qq.com
26,"[""goodz01.jpg"",""goodz02.jpg"",""goodz03.jpg"",""goodz04.jpg"",""goodz05.jpg"",""goodz06.jpg""]",user-26,女,程序员,广州,56,2018/7/9,111111,13111111111,,123456@qq.com
